lat,lon,perigrafh,dhmos
38.274827999999999,21.761769999999999,ΧΩΡΟΙ ΕΝΤΟΣ ΤΗΣ ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗΣ -ΠΕΡΙΜΕΤΡΙΚΑ ΚΤΙΡΙΟΥ ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΠΡΥΤΑΝΕΙΑΣ - ΧΩΡΟΣ ΣΥΝΑΘΡΟΙΣΗΣ-ΣΥΝΕΔΡΙΑΚΟ ΚΑΙ ΠΟΛΙΤΙΣΤΙΚΟ ΚΕΝΤΡΟ -,Δ.Κάτω Καστριτσίου
37.858862000000002,21.803334000000000,ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑ (ΑΓΟΡΑ),Δ.Λαμπείας
38.795902599999998,21.851116990000001,"ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ, -ΚΕΝΤΡΟ ΣΥΝΕΚΤΙΚΟΥ ΙΣΤΟΥ",Δ.Δομνίστης
37.287460799999998,21.856774800000000,ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑ,Δ.Δωρίου
39.362248670000000,21.921757320000001,ΠΛΑΤΕΙΑ ΚΑΙ ΑΙΘΡΙΟΣ ΧΩΡΟΣ ΔΗΜΟΤΙΚΗΣ ΑΓΟΡΑΣ,Δ.Καρδίτσης
36.796921159999997,21.958368069999999,ΠΑΡΑΛΙΑΚΗ ΖΩΝΗ-ΛΙΜΕΝΑΣ ΚΑΙ ΠΛΑΤΕΙΑ,Δ.Κορώνης
39.064122619999999,21.978871280000000,Κεντρική Πλατεία,Δ.Ρεντίνας
39.606410550000000,21.981475700000001,ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑ,Δ.Οιχαλίας (Νεοχωρίου)
37.164926629999997,21.983012370000001,ΠΛΑΤΕΙΑ 25ης ΜΑΡΤΙΟΥ,Δ.Βαλύρας
40.185058390000002,21.999074310000001,ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ-ΔΗΜΑΡΧΕΙΟ,Δ.Σερβίων
