gid,peripherei,nomarchia,id,ip,lat,lon,perigrafh,dhmos
28,Ανατ. Μακεδονίας και Θράκης,Έβρου,104.000000000000000,10.1.236.1,40.843133530000003,25.876981350000001,"ΠΛΑΤΕΙΑ ΦΑΡΟΥ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ , ΤΜΗΜΑ ΛΙΜΕΝΑ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ , ΤΜΗΜΑ ΧΩΡΟΥ ΣΤΑΘΜΕΥΣΗΣ ΑΥΤΟΚΙΝΗΤΩΝ , ΝΑΥΤΙΚΟΣ ΟΜΙΛΟΣ",Δ.Αλεξανδρούπολης (Πλατεία Φάρου)
29,Ανατ. Μακεδονίας και Θράκης,Ξάνθης,282.000000000000000,10.3.156.1,41.137032140000002,24.886893590000000,Κεντρική Πλατεία Ξάνθης,Δ.Ξάνθης
30,Ανατ. Μακεδονίας και Θράκης,Ξάνθης,177.000000000000000,10.2.132.1,41.198391160000000,24.705164409999998,ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑ-ΣΤΑΣΗ ΚΤΕΛ-ΣΤΑΘΜΟΣ ΟΣΕ,Δ.Σταυρουπόλεως Ξάνθης
31,Ανατ. Μακεδονίας και Θράκης,Ροδόπης,222.000000000000000,10.2.228.1,41.025839259999998,25.698642690000000,ΠΟΛΥΔΥΝΑΜΟΣ ΣΤΑΘΜΟΣ ΝΕΟΛΑΙΑΣ - ΠΕΖΟΡΔΟΜΟΣ ΜΠΑΚΟΓΙΑΝΝΗ,Δ.Σαπών
32,Ανατ. Μακεδονίας και Θράκης,Ροδόπης,12.000000000000000,10.1.60.1,41.125943620000001,25.187203279999999,ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑ ΙΑΣΜΟΥ,Δ.Ιάσμου
33,Ανατ. Μακεδονίας και Θράκης,Ροδόπης,238.000000000000000,10.3.12.1,41.081470000000003,25.695164999999999,Κεντρική Πλατεία,Δ.Αρριανά
34,Βορείου Αιγαίου,Λέσβου,283.000000000000000,10.3.164.1,39.104655000000001,26.560231000000002,ΕΠΙΒΑΤΙΚΟΣ ΛΙΜΕΝΑΣ ΜΥΤΙΛΗΝΗΣ,Δ.Μυτιλήνης
35,Βορείου Αιγαίου,Σάμου,293.000000000000000,10.4.252.1,37.757463999999999,26.971302000000001,ΠΛΑΤΕΙΑ ΠΥΘΑΓΟΡΑ ΣΑΜΟΥ-ΠΑΡΑΛΙΑΚΗ ΛΕΩΦΟΡΟ,Δ.Σαμίων
36,Βορείου Αιγαίου,Σάμου,314.000000000000000,10.5.4.1,37.697098269999998,26.915773990000002,ΚΡΑΤΙΚΟΣ ΑΕΡΟΛΙΜΕΝΑΣ ΣΑΜΟΥ,Δ.Πυθαγορείου
37,Βορείου Αιγαίου,Χίου,1044.000000000000000,10.6.84.1,38.265225000000001,26.103359999999999,ΧΕΡΣΑΙΑ ΖΩΝΗ ΛΙΜΕΝΑ Δ. ΚΑΤΑΡΡΑΚΤΗ,Δ.Ιωνίας
38,Βορείου Αιγαίου,Χίου,3.000000000000000,10.1.36.1,38.313447629999999,26.133458860000001,ΠΛΑΤΕΙΑ ΦΑΤΟΥΡΟΥ ΠΑΛΑΙΟ ΔΗΜΑΡΧΕΙΟ,Δ.Θυμιανών
39,Δυτικής Ελλάδος,Αχαϊας,152.000000000000000,10.2.260.1,38.274827999999999,21.761769999999999,ΧΩΡΟΙ ΕΝΤΟΣ ΤΗΣ ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗΣ -ΠΕΡΙΜΕΤΡΙΚΑ ΚΤΙΡΙΟΥ ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΠΡΥΤΑΝΕΙΑΣ - ΧΩΡΟΣ ΣΥΝΑΘΡΟΙΣΗΣ-ΣΥΝΕΔΡΙΑΚΟ ΚΑΙ ΠΟΛΙΤΙΣΤΙΚΟ ΚΕΝΤΡΟ -,Δ.Κάτω Καστριτσίου
40,Δυτικής Ελλάδος,Αχαϊας,143.000000000000000,10.2.20.1,38.249710530000002,21.736583069999998,ΠΛΑΤΕΙΑ ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΕΩΣ (ΟΛΓΑΣ),Δ.Πατρέων
41,Δυτικής Ελλάδος,Αχαϊας,176.000000000000000,10.2.124.1,38.253973530000003,22.082501680000000,ΚΗΠΟΣ ΠΡΩΗΝ ΕΡΓΟΣΤΑΣΙΟΥ ΧΑΡΤΟΠΟΙΙΑΣ ΑΙΓΙΟΥ-ΛΙΜΕΝΑΣ,Δ.Αιγίου
42,Δυτικής Ελλάδος,Ηλείας,1110.000000000000000,10.6.140.1,37.858862000000002,21.803334000000000,ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑ (ΑΓΟΡΑ),Δ.Λαμπείας
43,Δυτικής Ελλάδος,Ηλείας,1040.000000000000000,10.6.76.1,37.794966000000002,21.346242000000000,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΙΔΡΥΜΑ, ΤΕΙ ΠΑΤΡΩΝ - ΠΑΡΑΡΤΗΜΑ ΑΜΑΛΙΑΔΑΣ",ΤΕΙ Πατρών
44,Δυτικής Ελλάδος,Ηλείας,290.000000000000000,10.4.52.1,37.647229390000000,21.321737469999999,ΛΙΜΑΝΙ ΚΑΤΑΚΟΛΟΥ,Δ.Κατακόλου
45,Δυτικής Ελλάδος,Ηλείας,219.000000000000000,10.4.44.1,37.796436079999999,21.352055839999998,"ΔΗΜΟΤΙΚΗ ΒΙΒΛΙΟΘΗΚΗ, ΠΛΑΤΕΙΑ ΜΠΕΛΟΓΙΑΝΝΗ",Δ.Αμαλιάδος
46,Δυτικής Ελλάδος,Ηλείας,55.000000000000000,10.4.36.1,37.931965980000001,21.149973930000002,ΛΙΜΑΝΙ ΚΥΛΛΗΝΗΣ,Δ.Κυλλήνης
47,Δυτικής Ελλάδος,Αιτωλίας και Ακαρνανίας,1076.000000000000000,10.6.124.1,38.621488999999997,21.407622000000000,ΔΗΜΟΤΙΚΟ ΠΑΡΚΟ,Δ.Αγρινίου
48,Δυτικής Ελλάδος,Αιτωλίας και Ακαρνανίας,272.000000000000000,10.3.116.1,38.614067679999998,21.522993280000001,ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑ,Δ.Παραβόλας
49,Δυτικής Ελλάδος,Αιτωλίας και Ακαρνανίας,249.000000000000000,10.3.44.1,38.409335169999999,21.276655770000001,ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑ,Δ.Νεοχωρίου Μεσολογγίου
50,Δυτικής Ελλάδος,Αιτωλίας και Ακαρνανίας,317.000000000000000,10.3.212.1,38.669242509999997,20.946048579999999,Final: Κτίριο Πνευματικού Κέντρου Μύτικα-εφαπτόμενη πλατεία,Δ.Μύτικα
